crawl_time,area_route,district,filter_type,filter_name,page,url,status,new_count
2026-07-01T19:03:56,yubei,两江新区,base,不限,1,https://m.58.com/cq/ershoufang/yubei/,ok,29
2026-07-01T19:04:00,yubei,两江新区,base,不限,2,https://m.58.com/cq/ershoufang/yubei/pn2/,ok,0
2026-07-01T19:04:03,yubei,两江新区,base,不限,3,https://m.58.com/cq/ershoufang/yubei/pn3/,ok,3
2026-07-01T19:04:06,yubei,两江新区,base,不限,4,https://m.58.com/cq/ershoufang/yubei/pn4/,ok,0
2026-07-01T19:04:09,yubei,两江新区,base,不限,5,https://m.58.com/cq/ershoufang/yubei/pn5/,ok,1
2026-07-01T19:04:12,yubei,两江新区,base,不限,6,https://m.58.com/cq/ershoufang/yubei/pn6/,ok,0
2026-07-01T19:04:16,yubei,两江新区,base,不限,7,https://m.58.com/cq/ershoufang/yubei/pn7/,ok,0
2026-07-01T19:04:19,yubei,两江新区,base,不限,8,https://m.58.com/cq/ershoufang/yubei/pn8/,ok,0
2026-07-01T19:04:19,jiangbei,两江新区,base,不限,1,https://m.58.com/cq/ershoufang/jiangbei/,ok,18
2026-07-01T19:04:22,jiangbei,两江新区,base,不限,2,https://m.58.com/cq/ershoufang/jiangbei/pn2/,ok,23
2026-07-01T19:04:25,jiangbei,两江新区,base,不限,3,https://m.58.com/cq/ershoufang/jiangbei/pn3/,ok,23
2026-07-01T19:04:28,jiangbei,两江新区,base,不限,4,https://m.58.com/cq/ershoufang/jiangbei/pn4/,ok,25
2026-07-01T19:04:31,jiangbei,两江新区,base,不限,5,https://m.58.com/cq/ershoufang/jiangbei/pn5/,ok,18
2026-07-01T19:04:34,jiangbei,两江新区,base,不限,6,https://m.58.com/cq/ershoufang/jiangbei/pn6/,ok,21
2026-07-01T19:04:37,jiangbei,两江新区,base,不限,7,https://m.58.com/cq/ershoufang/jiangbei/pn7/,ok,16
2026-07-01T19:04:40,jiangbei,两江新区,base,不限,8,https://m.58.com/cq/ershoufang/jiangbei/pn8/,ok,18
2026-07-01T19:04:43,jiangbei,两江新区,base,不限,9,https://m.58.com/cq/ershoufang/jiangbei/pn9/,ok,16
2026-07-01T19:04:46,jiangbei,两江新区,base,不限,10,https://m.58.com/cq/ershoufang/jiangbei/pn10/,ok,11
2026-07-01T19:04:49,jiangbei,两江新区,base,不限,11,https://m.58.com/cq/ershoufang/jiangbei/pn11/,ok,2
2026-07-01T19:04:52,jiangbei,两江新区,base,不限,12,https://m.58.com/cq/ershoufang/jiangbei/pn12/,ok,4
2026-07-01T19:04:55,jiangbei,两江新区,base,不限,13,https://m.58.com/cq/ershoufang/jiangbei/pn13/,ok,3
2026-07-01T19:04:58,jiangbei,两江新区,base,不限,14,https://m.58.com/cq/ershoufang/jiangbei/pn14/,ok,19
2026-07-01T19:05:01,jiangbei,两江新区,base,不限,15,https://m.58.com/cq/ershoufang/jiangbei/pn15/,ok,16
2026-07-01T19:05:04,jiangbei,两江新区,base,不限,16,https://m.58.com/cq/ershoufang/jiangbei/pn16/,ok,14
2026-07-01T19:05:06,jiangbei,两江新区,base,不限,17,https://m.58.com/cq/ershoufang/jiangbei/pn17/,ok,11
2026-07-01T19:05:09,jiangbei,两江新区,base,不限,18,https://m.58.com/cq/ershoufang/jiangbei/pn18/,ok,8
2026-07-01T19:05:12,jiangbei,两江新区,base,不限,19,https://m.58.com/cq/ershoufang/jiangbei/pn19/,ok,9
2026-07-01T19:05:15,jiangbei,两江新区,base,不限,20,https://m.58.com/cq/ershoufang/jiangbei/pn20/,ok,13
2026-07-01T19:05:18,jiangbei,两江新区,base,不限,21,https://m.58.com/cq/ershoufang/jiangbei/pn21/,ok,8
2026-07-01T19:05:21,jiangbei,两江新区,base,不限,22,https://m.58.com/cq/ershoufang/jiangbei/pn22/,ok,10
2026-07-01T19:05:24,jiangbei,两江新区,base,不限,23,https://m.58.com/cq/ershoufang/jiangbei/pn23/,ok,12
2026-07-01T19:05:27,jiangbei,两江新区,base,不限,24,https://m.58.com/cq/ershoufang/jiangbei/pn24/,ok,9
2026-07-01T19:05:30,jiangbei,两江新区,base,不限,25,https://m.58.com/cq/ershoufang/jiangbei/pn25/,ok,7
2026-07-01T19:05:33,jiangbei,两江新区,base,不限,26,https://m.58.com/cq/ershoufang/jiangbei/pn26/,ok,9
2026-07-01T19:05:36,jiangbei,两江新区,base,不限,27,https://m.58.com/cq/ershoufang/jiangbei/pn27/,ok,5
2026-07-01T19:05:39,jiangbei,两江新区,base,不限,28,https://m.58.com/cq/ershoufang/jiangbei/pn28/,ok,10
2026-07-01T19:05:42,jiangbei,两江新区,base,不限,29,https://m.58.com/cq/ershoufang/jiangbei/pn29/,ok,6
2026-07-01T19:05:45,jiangbei,两江新区,base,不限,30,https://m.58.com/cq/ershoufang/jiangbei/pn30/,ok,8
2026-07-01T19:05:48,jiangbei,两江新区,base,不限,31,https://m.58.com/cq/ershoufang/jiangbei/pn31/,ok,6
2026-07-01T19:05:50,jiangbei,两江新区,base,不限,32,https://m.58.com/cq/ershoufang/jiangbei/pn32/,ok,5
2026-07-01T19:05:53,jiangbei,两江新区,base,不限,33,https://m.58.com/cq/ershoufang/jiangbei/pn33/,ok,8
2026-07-01T19:05:56,jiangbei,两江新区,base,不限,34,https://m.58.com/cq/ershoufang/jiangbei/pn34/,ok,8
2026-07-01T19:05:59,jiangbei,两江新区,base,不限,35,https://m.58.com/cq/ershoufang/jiangbei/pn35/,ok,5
2026-07-01T19:06:02,jiangbei,两江新区,base,不限,36,https://m.58.com/cq/ershoufang/jiangbei/pn36/,ok,4
2026-07-01T19:06:05,jiangbei,两江新区,base,不限,37,https://m.58.com/cq/ershoufang/jiangbei/pn37/,ok,4
2026-07-01T19:06:08,jiangbei,两江新区,base,不限,38,https://m.58.com/cq/ershoufang/jiangbei/pn38/,ok,3
2026-07-01T19:06:11,jiangbei,两江新区,base,不限,39,https://m.58.com/cq/ershoufang/jiangbei/pn39/,ok,5
2026-07-01T19:06:14,jiangbei,两江新区,base,不限,40,https://m.58.com/cq/ershoufang/jiangbei/pn40/,ok,6
2026-07-01T19:06:17,jiangbei,两江新区,base,不限,41,https://m.58.com/cq/ershoufang/jiangbei/pn41/,ok,5
2026-07-01T19:06:20,jiangbei,两江新区,base,不限,42,https://m.58.com/cq/ershoufang/jiangbei/pn42/,ok,3
2026-07-01T19:06:23,jiangbei,两江新区,base,不限,43,https://m.58.com/cq/ershoufang/jiangbei/pn43/,ok,3
2026-07-01T19:06:25,jiangbei,两江新区,base,不限,44,https://m.58.com/cq/ershoufang/jiangbei/pn44/,ok,6
2026-07-01T19:06:28,jiangbei,两江新区,base,不限,45,https://m.58.com/cq/ershoufang/jiangbei/pn45/,ok,2
2026-07-01T19:06:31,jiangbei,两江新区,base,不限,46,https://m.58.com/cq/ershoufang/jiangbei/pn46/,ok,2
2026-07-01T19:06:34,jiangbei,两江新区,base,不限,47,https://m.58.com/cq/ershoufang/jiangbei/pn47/,ok,1
2026-07-01T19:06:37,jiangbei,两江新区,base,不限,48,https://m.58.com/cq/ershoufang/jiangbei/pn48/,ok,4
2026-07-01T19:06:40,jiangbei,两江新区,base,不限,49,https://m.58.com/cq/ershoufang/jiangbei/pn49/,ok,2
2026-07-01T19:06:43,jiangbei,两江新区,base,不限,50,https://m.58.com/cq/ershoufang/jiangbei/pn50/,ok,3
2026-07-01T19:06:46,jiangbei,两江新区,base,不限,51,https://m.58.com/cq/ershoufang/jiangbei/pn51/,ok,3
2026-07-01T19:06:49,jiangbei,两江新区,base,不限,52,https://m.58.com/cq/ershoufang/jiangbei/pn52/,ok,4
2026-07-01T19:06:52,jiangbei,两江新区,base,不限,53,https://m.58.com/cq/ershoufang/jiangbei/pn53/,ok,0
2026-07-01T19:06:55,jiangbei,两江新区,base,不限,54,https://m.58.com/cq/ershoufang/jiangbei/pn54/,ok,2
2026-07-01T19:06:57,jiangbei,两江新区,base,不限,55,https://m.58.com/cq/ershoufang/jiangbei/pn55/,ok,1
2026-07-01T19:07:00,jiangbei,两江新区,base,不限,56,https://m.58.com/cq/ershoufang/jiangbei/pn56/,ok,3
2026-07-01T19:07:03,jiangbei,两江新区,base,不限,57,https://m.58.com/cq/ershoufang/jiangbei/pn57/,ok,0
2026-07-01T19:07:06,jiangbei,两江新区,base,不限,58,https://m.58.com/cq/ershoufang/jiangbei/pn58/,ok,2
2026-07-01T19:07:09,jiangbei,两江新区,base,不限,59,https://m.58.com/cq/ershoufang/jiangbei/pn59/,ok,0
2026-07-01T19:07:12,jiangbei,两江新区,base,不限,60,https://m.58.com/cq/ershoufang/jiangbei/pn60/,ok,0
2026-07-01T19:07:15,jiangbei,两江新区,base,不限,61,https://m.58.com/cq/ershoufang/jiangbei/pn61/,ok,0
2026-07-01T19:07:15,nanan,南岸,base,不限,1,https://m.58.com/cq/ershoufang/nanan/,ok,20
2026-07-01T19:07:18,nanan,南岸,base,不限,2,https://m.58.com/cq/ershoufang/nanan/pn2/,ok,0
2026-07-01T19:07:22,nanan,南岸,base,不限,3,https://m.58.com/cq/ershoufang/nanan/pn3/,ok,0
