crawl_time,area_id,district,filter_type,filter_name,page,url,status,new_count
2026-07-01T19:33:52,1,渝中,base,不限,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1,ok,20
2026-07-01T19:33:53,1,渝中,base,不限,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1,ok,20
2026-07-01T19:33:54,1,渝中,base,不限,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1,ok,20
2026-07-01T19:33:55,1,渝中,base,不限,4,https://m.daojiale.com/cq/ershoufangPage?pageNo=4&areaId=1,ok,20
2026-07-01T19:33:56,1,渝中,base,不限,5,https://m.daojiale.com/cq/ershoufangPage?pageNo=5&areaId=1,ok,20
2026-07-01T19:33:57,1,渝中,base,不限,6,https://m.daojiale.com/cq/ershoufangPage?pageNo=6&areaId=1,ok,20
2026-07-01T19:33:58,1,渝中,base,不限,7,https://m.daojiale.com/cq/ershoufangPage?pageNo=7&areaId=1,ok,20
2026-07-01T19:33:59,1,渝中,base,不限,8,https://m.daojiale.com/cq/ershoufangPage?pageNo=8&areaId=1,ok,20
2026-07-01T19:34:00,1,渝中,base,不限,9,https://m.daojiale.com/cq/ershoufangPage?pageNo=9&areaId=1,ok,20
2026-07-01T19:34:01,1,渝中,base,不限,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1,ok,20
2026-07-01T19:34:03,1,渝中,base,不限,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1,ok,20
2026-07-01T19:34:04,1,渝中,base,不限,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1,ok,20
2026-07-01T19:34:05,1,渝中,base,不限,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1,ok,20
2026-07-01T19:34:06,1,渝中,base,不限,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1,ok,20
2026-07-01T19:34:07,1,渝中,base,不限,15,https://m.daojiale.com/cq/ershoufangPage?pageNo=15&areaId=1,ok,20
2026-07-01T19:34:08,1,渝中,price,100万以下,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&saletotal=0-100,ok,0
2026-07-01T19:34:09,1,渝中,price,100万以下,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&saletotal=0-100,ok,0
2026-07-01T19:34:10,1,渝中,price,100万以下,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&saletotal=0-100,ok,0
2026-07-01T19:34:10,1,渝中,price,100-150万,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&saletotal=100-150,ok,0
2026-07-01T19:34:11,1,渝中,price,100-150万,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&saletotal=100-150,ok,0
2026-07-01T19:34:12,1,渝中,price,100-150万,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&saletotal=100-150,ok,10
2026-07-01T19:34:14,1,渝中,price,100-150万,4,https://m.daojiale.com/cq/ershoufangPage?pageNo=4&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:15,1,渝中,price,100-150万,5,https://m.daojiale.com/cq/ershoufangPage?pageNo=5&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:16,1,渝中,price,100-150万,6,https://m.daojiale.com/cq/ershoufangPage?pageNo=6&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:17,1,渝中,price,100-150万,7,https://m.daojiale.com/cq/ershoufangPage?pageNo=7&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:18,1,渝中,price,100-150万,8,https://m.daojiale.com/cq/ershoufangPage?pageNo=8&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:19,1,渝中,price,100-150万,9,https://m.daojiale.com/cq/ershoufangPage?pageNo=9&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:20,1,渝中,price,100-150万,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:21,1,渝中,price,100-150万,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:22,1,渝中,price,100-150万,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:23,1,渝中,price,100-150万,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:25,1,渝中,price,100-150万,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:26,1,渝中,price,100-150万,15,https://m.daojiale.com/cq/ershoufangPage?pageNo=15&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:27,1,渝中,price,100-150万,16,https://m.daojiale.com/cq/ershoufangPage?pageNo=16&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:28,1,渝中,price,100-150万,17,https://m.daojiale.com/cq/ershoufangPage?pageNo=17&areaId=1&saletotal=100-150,ok,20
2026-07-01T19:34:29,1,渝中,price,100-150万,18,https://m.daojiale.com/cq/ershoufangPage?pageNo=18&areaId=1&saletotal=100-150,ok,10
2026-07-01T19:34:30,1,渝中,price,150-200万,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&saletotal=150-200,ok,0
2026-07-01T19:34:31,1,渝中,price,150-200万,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&saletotal=150-200,ok,18
2026-07-01T19:34:32,1,渝中,price,150-200万,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&saletotal=150-200,ok,16
2026-07-01T19:34:33,1,渝中,price,150-200万,4,https://m.daojiale.com/cq/ershoufangPage?pageNo=4&areaId=1&saletotal=150-200,ok,16
2026-07-01T19:34:34,1,渝中,price,150-200万,5,https://m.daojiale.com/cq/ershoufangPage?pageNo=5&areaId=1&saletotal=150-200,ok,19
2026-07-01T19:34:35,1,渝中,price,150-200万,6,https://m.daojiale.com/cq/ershoufangPage?pageNo=6&areaId=1&saletotal=150-200,ok,20
2026-07-01T19:34:37,1,渝中,price,150-200万,7,https://m.daojiale.com/cq/ershoufangPage?pageNo=7&areaId=1&saletotal=150-200,ok,19
2026-07-01T19:34:38,1,渝中,price,150-200万,8,https://m.daojiale.com/cq/ershoufangPage?pageNo=8&areaId=1&saletotal=150-200,ok,18
2026-07-01T19:34:39,1,渝中,price,150-200万,9,https://m.daojiale.com/cq/ershoufangPage?pageNo=9&areaId=1&saletotal=150-200,ok,19
2026-07-01T19:34:40,1,渝中,price,150-200万,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1&saletotal=150-200,ok,20
2026-07-01T19:34:41,1,渝中,price,150-200万,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1&saletotal=150-200,ok,20
2026-07-01T19:34:42,1,渝中,price,150-200万,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1&saletotal=150-200,ok,20
2026-07-01T19:34:43,1,渝中,price,150-200万,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1&saletotal=150-200,ok,20
2026-07-01T19:34:44,1,渝中,price,150-200万,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1&saletotal=150-200,ok,20
2026-07-01T19:34:45,1,渝中,price,150-200万,15,https://m.daojiale.com/cq/ershoufangPage?pageNo=15&areaId=1&saletotal=150-200,ok,20
2026-07-01T19:34:46,1,渝中,price,150-200万,16,https://m.daojiale.com/cq/ershoufangPage?pageNo=16&areaId=1&saletotal=150-200,ok,20
2026-07-01T19:34:48,1,渝中,price,150-200万,17,https://m.daojiale.com/cq/ershoufangPage?pageNo=17&areaId=1&saletotal=150-200,ok,15
2026-07-01T19:34:49,1,渝中,price,200-250万,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&saletotal=200-250,ok,7
2026-07-01T19:34:50,1,渝中,price,200-250万,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&saletotal=200-250,ok,19
2026-07-01T19:34:51,1,渝中,price,200-250万,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&saletotal=200-250,ok,17
